alpha,beta,t_alpha,t_beta,p_beta,rsq,adj_rsq,n,portfolio,factor
0.0015101298143490331,0.42581078790728316,0.8054391550896144,3.398387704025205,0.0009249842078711298,0.08914800972039771,0.08142892505701127,120,Asset 5,Relative Value HF
0.00025232039175365414,0.5202507376900424,0.17257182275645258,9.450122066872893,4.0213548468029483e-16,0.43078985160654115,0.4259660367896474,120,Asset 5,EM Bond
0.0001745577643093429,0.9526732065917299,0.39361070432771667,45.62259632436684,8.350059043917522e-77,0.9463495237369608,0.9458948586838842,120,Asset 5,TIPs
0.0016008165589437898,0.2724563013642824,0.9041787638080221,4.705787530042344,6.938500615177524e-06,0.15801152629413207,0.15087603075425182,120,Asset 5,High Yield
0.0026696943691326795,0.10093196186157966,1.4379401065750081,2.5193542982729653,0.013094483759489031,0.05104376160053914,0.0430017595802048,120,Asset 5,MSCI World
0.00254732091092878,0.08139314100625149,1.3758011053561485,2.739864723361819,0.007101447723776443,0.05981233838484756,0.0518446463372616,120,Asset 5,MSCI Canada
0.0026736052552180298,0.09551600713367905,1.4474289023930662,2.7162044035160893,0.007596541118795787,0.05884429572941485,0.05086839993051162,120,Asset 5,MSCI EAFE
0.0023240820913561213,0.0894000371049882,1.2728056409706803,3.3901162011704455,0.0009507690451545757,0.08875304310219034,0.0810306112640733,120,Asset 5,MSCI EM Equity
0.002735608126387469,0.07687185339431696,1.4706461550407808,2.376226399489607,0.019100536624654746,0.04566610537375937,0.037578529995570875,120,Asset 5,MSCI Europe
0.0029122355087950677,0.09292565870118809,1.5708072543921794,2.36540714997042,0.019640997564483818,0.04526998786387926,0.037179055557641005,120,Asset 5,MSCI Japan
0.002399857639059465,0.08753983156217782,1.3062080845918125,3.133061551795572,0.002182311744439768,0.07679843643572659,0.06897469437162262,120,Asset 5,MSCI Asia ex-J
0.0026284275446543993,0.09891576438714278,1.4065452523148394,2.3123036098494105,0.022494511208707022,0.04334729590771935,0.03524006960185255,120,Asset 5,US Growth
0.0027543730853826515,0.07926301682845617,1.464821184751974,1.8985627652527706,0.060064320841789705,0.02964149658065207,0.021418119433030514,120,Asset 5,US Value
0.002878765125654301,0.044365089373811395,1.5188957613864014,1.340851645358165,0.18254410579792174,0.015007636928240364,0.006660244020852635,120,Asset 5,US Small Cap
0.0025271475534064986,0.08440438017576826,1.3479816963602813,2.3195595516287253,0.022084230304260138,0.04360788593572529,0.035502868019926415,120,Asset 5,US Mid Cap
0.0017077466194741686,0.1657331181139935,0.9931403448136175,5.375559307411869,3.906523138109756e-07,0.1967140860879779,0.18990657834296076,120,Asset 5,Gold
0.002707975106631638,0.09126824885891599,1.443871579571923,2.0700506536299508,0.04062969094868733,0.03504195824663525,0.026864347723301707,120,Asset 5,S&P500
0.0034350088165793864,0.2801368516359428,1.5279131757312916,1.3079262393989861,0.19344061962090395,0.014290046432256731,0.005936572249479299,120,EWP,US Muni
0.004609739752154233,-0.7351860357620229,2.044583132506188,-1.267384476879019,0.20751328488410037,0.013429592785603406,0.005068826622769529,120,EWP,US Tbill 1-3yr
0.002841917248482952,0.4799856938712569,1.2664284175278089,2.1599424546616834,0.0327997338712624,0.03803316383901545,0.029880902515617258,120,EWP,US AGG
0.0022564760435278925,0.7128379003957241,1.1588238058024343,6.21969993948582,7.814023260830165e-09,0.24689504081453673,0.24051279539771075,120,EWP,Global AGG
0.0026047702278452576,-0.638003840435771,1.3157679569796081,-5.721186351860812,8.154831092721536e-08,0.21715348483826113,0.21051919233689054,120,EWP,US Dollar
0.003754219281192998,0.3305278537321111,2.401813156175109,10.958708769097324,1.0547783532606546e-19,0.504395961382529,0.5001959271569572,120,EWP,Commodities
0.0014328179648606248,0.7885022339302584,1.1227690409067725,15.658056487217069,1.3896018225469471e-30,0.675087528696524,0.672334033177003,120,EWP,Long Short HF
-0.00042260404154170143,0.9830740851801478,-0.29591445537664895,13.52863419858311,9.427557532280413e-26,0.6080046035055594,0.6046826086200133,120,EWP,Event Driven HF
0.0021586102724329313,1.1244124320194078,1.3853321966675214,11.148920566613269,3.7239426056644026e-20,0.5129972567420975,0.5088701148500814,120,EWP,HF FOF Div
-0.0007668432026411943,1.1940605911451974,-0.4752802235789347,11.074072021723065,5.609144645782351e-20,0.5096309135661452,0.5054752433421295,120,EWP,Relative Value HF
0.0007310823658795459,0.5764992217660482,0.41000491128173544,8.586746729755482,4.256098803673087e-14,0.3845583159227478,0.3793427084305677,120,EWP,EM Bond
